customer_unique_id;total_gasto;customer_zip_code_prefix;customer_city;customer_state
0a0a92112bd4c708ca5fde585afaa872;13664.08;20080;rio de janeiro;RJ
da122df9eeddfedc1dc1f5349a1a690c;7571.63;28970;araruama;RJ
763c8b1c9c68a0229c42c9fc6f662b93;7274.88;29102;vila velha;ES
dc4802a71eae9be1dd28f5d788ceb526;6929.31;79042;campo grande;MS
459bef486812aa25204be022145caa62;6922.21;29066;vitoria;ES
ff4159b92c40ebe40454e3e6a7c35ed6;6726.66;17506;marilia;SP
4007669dec559734d6f53e029e360987;6081.54;35501;divinopolis;MG
5d0a2980b292d049061542014e8960bf;4809.44;74210;goiania;GO
eebb5dda148d3893cdaf5b5ca3040ccb;4764.34;9341;maua;SP
48e1ac109decbb87765a3eade6854098;4681.78;58038;joao pessoa;PB
