product_category_name,Faturamento
Beleza Saude,1441248.07
Relogios Presentes,1305541.61
Cama Mesa Banho,1241681.72
Esporte Lazer,1156656.48
Informatica Acessorios,1059272.4
Moveis Decoracao,902511.79
Utilidades Domesticas,778397.77
Cool Stuff,719329.95
Automotivo,685384.32
Ferramentas Jardim,584219.21
Brinquedos,561372.55
Bebes,480118.0
Perfumaria,453338.71
Telefonia,394883.32
Moveis Escritorio,342532.65
Papelaria,277741.71
Pet Shop,253876.65
Pcs,232799.43
Instrumentos Musicais,210137.37
Eletronicos,206825.06
Eletroportateis,206668.83
Fashion Bolsas E Acessorios,184273.54
Consoles Games,177293.24
Malas Acessorios,170875.21
Construcao Ferramentas Construcao,165328.0
Eletrodomesticos 2,123917.92
Casa Construcao,96920.36
Eletrodomesticos,94990.43000000001
Moveis Sala,86884.73
Agro Industria E Comercio,78374.07
Casa Conforto,67073.27
Telefonia Fixa,64220.81
Climatizacao,61774.19
Moveis Cozinha Area De Servico Jantar E Jardim,58327.8
Audio,56398.94
Livros Interesse Geral,56052.4
Portateis Casa Forno E Cafe,50193.57
Construcao Ferramentas Iluminacao,48663.8
Industria Comercio E Negocios,47554.29
Construcao Ferramentas Seguranca,44463.62
Alimentos,36664.44
Market Place,33834.53
Construcao Ferramentas Jardim,31027.29
Fashion Calcados,28481.64
Artes,28247.81
Bebidas,28169.95
Sinalizacao E Seguranca,28017.05
Moveis Quarto,24661.01
Livros Tecnicos,23379.12
Alimentos Bebidas,19687.47
Construcao Ferramentas Ferramentas,17934.170000000002
Fashion Roupa Masculina,12950.23
Artigos De Natal,12030.12
Fashion Underwear E Moda Praia,11457.74
Tablets Impressao Imagem,8754.61
Cine Foto,8189.66
Dvds Blu Ray,7288.13
Musica,6724.860000000001
Moveis Colchao E Estofado,5998.54
Livros Importados,5409.7
Artigos De Festas,5313.150000000001
Portateis Cozinha E Preparadores De Alimentos,4278.29
Fashion Roupa Feminina,3425.39
Fashion Esporte,2697.64
La Cuisine,2388.54
Artes E Artesanato,2184.1400000000003
Fraldas Higiene,2141.27
Pc Gamer,1679.52
Flores,1598.91
Casa Conforto 2,1170.58
Cds Dvds Musicais,954.99
Fashion Roupa Infanto Juvenil,665.36
Seguros E Servicos,324.51
